x	Y	Yerr
0.550000	82.826777	4.305418
0.650000	562.862406	11.743007
0.750000	1661.995915	20.263587
0.850000	3972.999961	31.405084
0.950000	7977.907184	44.578646
1.050000	13421.080240	57.865861
1.150000	20060.457200	70.747327
1.250000	29728.120980	86.152195
1.350000	41173.170700	101.391436
1.450000	56623.189105	119.743576
1.550000	77625.012703	140.203213
1.650000	105871.377722	163.735665
1.750000	144040.245745	190.985297
1.850000	187551.402941	217.930369
1.950000	240314.295620	246.682985
2.050000	298075.433160	311.293107
2.150000	365722.200960	344.832579
2.250000	441363.126020	378.874673
2.350000	511311.151600	407.832282
2.450000	571209.388940	431.099862
2.550000	604464.535240	443.488017
2.650000	606821.623400	444.345276
2.750000	582394.106560	435.307138
2.850000	555891.507600	425.290476
2.950000	534637.264407	445.166663
3.050000	503063.706972	431.760681
3.150000	470379.968595	417.471643
3.250000	441185.343455	404.272368
3.350000	412000.800742	390.672924
3.450000	383685.403366	377.083978
3.550000	360964.359390	593.399667
3.650000	340921.487100	576.667169
3.750000	318039.816730	556.983645
3.850000	296631.096880	537.890009
3.950000	272629.901710	515.627382
4.050000	253624.740340	497.410284
4.150000	262454.039370	506.014698
4.250000	255373.806610	499.124580
4.350000	242893.356450	486.762026
4.450000	228173.096668	439.945416
4.550000	212132.477191	424.198807
4.650000	199858.065609	411.192387
4.750000	196082.245265	407.703647
4.850000	184418.855237	395.474982
4.950000	171887.605386	381.816374
5.050000	160339.548570	279.314928
5.150000	149558.096690	269.765861
5.250000	139759.868280	260.773153
5.350000	130266.796020	251.765804
5.450000	121681.268510	243.324049
5.550000	113387.168520	234.885572
5.650000	105552.261400	226.621024
5.750000	98317.981474	218.727891
5.850000	92140.867562	211.739124
5.950000	85899.752347	204.443284
6.050000	80103.109056	197.422840
6.150000	74658.866754	190.597866
6.250000	69851.922018	184.363621
6.350000	65556.688175	178.603589
6.450000	61326.671462	172.727756
6.550000	57307.847496	166.973420
6.650000	53830.120637	161.828567
6.750000	50786.986411	157.187290
6.850000	47637.762286	152.238868
6.950000	44816.327023	147.662569
7.050000	42323.631208	143.462350
7.150000	39860.682492	139.224767
7.250000	38411.360760	136.685311
7.350000	36366.819420	132.956633
7.450000	33531.063356	127.694093
7.550000	31679.184608	124.120793
7.650000	29977.132284	120.738835
7.750000	28352.435548	117.422145
7.850000	26883.726184	114.341086
7.950000	25506.307008	111.373081
8.050000	24128.781280	108.322257
8.150000	22838.248688	105.387592
8.250000	21663.992680	102.642063
8.350000	20618.447832	100.137402
8.450000	19625.254092	97.692675
8.550000	18581.010951	84.854181
8.650000	17571.416114	82.490927
8.750000	16658.163158	80.350852
8.850000	15737.866196	78.104358
8.950000	15043.455481	76.341340
9.050000	14260.495240	68.043338
9.150000	13550.536982	66.329636
9.250000	12904.880596	64.729915
9.350000	12283.491242	63.152210
9.450000	11747.638950	61.760603
9.550000	11205.316188	60.316858
9.650000	10591.343222	58.639306
9.750000	9984.096640	56.933670
9.850000	9486.492008	55.498715
9.950000	9117.399976	54.409799
10.050000	8747.475377	53.293513
10.150000	8351.533080	52.073060
10.250000	7963.066320	50.847496
10.350000	7504.983700	49.360481
10.450000	7173.293240	48.261670
10.550000	6850.407509	47.239184
10.650000	6610.827790	46.406357
10.750000	6303.980210	45.316412
10.850000	6556.940593	46.215072
10.950000	6538.142365	46.136132
11.050000	5442.240234	42.104696
11.150000	5259.099550	41.409599
11.250000	5095.055525	40.758498
11.350000	4883.685250	39.903422
11.450000	4587.021325	38.670652
11.550000	4366.057375	37.729417
11.650000	4205.977275	37.031805
11.750000	4035.848700	36.274802
11.850000	3904.231175	35.678963
11.950000	3724.338050	34.846205
12.050000	3598.728475	34.254617
12.150000	3366.163350	33.126456
12.250000	3298.107775	32.793197
12.350000	3148.798025	32.040602
12.450000	2992.531425	31.235681
12.550000	2835.611066	26.400911
12.650000	2787.081802	26.173417
12.750000	2648.814078	25.516444
12.850000	2547.065605	25.021436
12.950000	2435.519515	24.467548
13.050000	2330.537563	23.934260
13.150000	2244.484500	23.444297
13.250000	2142.764790	22.906844
13.350000	2146.837570	22.928715
13.450000	1989.062210	22.069937
13.550000	1926.137500	21.718136
13.650000	1860.056230	21.342361
13.750000	1774.304500	20.844580
13.850000	1721.074990	20.529542
13.950000	1668.913540	20.215976
14.050000	1604.141990	19.819879
14.150000	1527.857990	19.342838
14.250000	1472.542030	18.989511
14.350000	1405.811480	18.554132
14.450000	1376.048880	18.356779
14.550000	2653.879354	25.229135
14.650000	1285.273793	17.554851
14.750000	1228.110817	17.161737
14.850000	1179.146890	16.817798
14.950000	1149.712488	16.605946
15.050000	1133.167372	13.872921
15.150000	1095.857064	13.642776
15.250000	1068.045342	13.467997
15.350000	1011.174792	13.104758
15.450000	970.741399	12.840416
15.550000	948.400717	12.691827
15.650000	926.579947	12.544798
15.750000	892.058521	12.308473
15.850000	846.125860	11.987935
15.950000	823.534182	11.826540
16.050000	791.998718	11.598249
16.150000	781.388195	11.520177
16.250000	756.873167	11.337418
16.350000	714.965694	11.019719
16.450000	700.969586	10.771211
16.550000	696.655301	10.739241
16.650000	643.868929	10.322698
16.750000	638.843406	10.283378
16.850000	611.142766	10.056145
16.950000	593.324891	9.909808
17.050000	577.482491	9.207290
17.150000	564.778485	9.105092
17.250000	541.081248	8.911892
17.350000	514.701371	8.691722
17.450000	492.216205	8.500373
17.550000	481.356838	8.405996
17.650000	471.041822	8.315599
17.750000	459.872316	8.215665
17.850000	436.941941	8.008724
17.950000	421.659446	7.867310
18.050000	406.931258	7.728899
18.150000	806.326074	10.218899
18.250000	1258.956638	13.036935
18.350000	377.495883	7.444037
18.450000	374.994141	6.960632
18.550000	353.748118	6.750341
18.650000	344.735316	6.668896
18.750000	329.932957	6.524593
18.850000	324.082130	6.464785
18.950000	314.167601	6.367932
19.050000	302.096250	5.558202
19.150000	295.755650	5.499561
19.250000	288.128094	5.428095
19.350000	278.683020	5.338335
19.450000	267.080104	5.225819
19.550000	258.137788	5.137952
19.650000	247.064631	5.025712
19.750000	234.992136	4.902164
19.850000	232.297613	4.874056
19.950000	228.192598	4.830582
20.050000	224.700360	4.793681
20.150000	214.022047	4.676535
20.250000	206.171592	4.591485
20.350000	210.385709	4.638480
20.450000	203.361192	4.559809
20.550000	192.007160	4.430902
20.650000	183.779945	4.335092
20.750000	178.515206	4.272672
20.850000	177.753916	4.263584
20.950000	179.264582	4.281682
21.050000	173.097004	4.206596
21.150000	163.412232	4.087834
21.250000	155.210395	3.983472
21.350000	146.250967	3.867108
21.450000	119.794829	3.482829
21.550000	56.675837	2.258219
